緯度,経度,施設名,住所,利用可能日,利用可能時間,電話番号　,授乳,おむつ替え
34.7278579,135.4875781,淀川子育て支援センター,大阪市淀川区木川西4-4-3-101,毎週月曜日から金曜日,10：00～16：00,06-6303-5018,1,1
34.7477249,135.5420968,大阪市立西大道保育所,大阪市東淀川区大桐2-8-2-100,毎週月曜日から金曜日,10：00～16：00,06-6329-8810,1,0
34.741347,135.5107499,つどいの広場西淡路,大阪市東淀川区西淡路5-1-14,毎週月曜日から金曜日,10：00～16：00,06-6323-5160,1,1
34.7440457,135.5408514,大阪市立豊里第１保育所,大阪市東淀川区豊里7ー21ー23,毎週月曜日から金曜日,10：00～16：00,06-6328-5200,1,0
34.7342111,135.505261,東淀川子育て支援センター,大阪市東淀川区東中島4-11-25,毎週月曜日から金曜日,10：00～16：00,06-6323-9800,1,1
34.669819,135.5413638,東成子育て支援センター,大阪市東成区大今里西2-8-4,毎週月曜日から金曜日,10：00～16：00,06-6971-3970,1,1
34.6612169,135.5431472,大阪市立中川保育所,大阪市生野区中川2-4-26,毎週月曜日から金曜日,10：00～16：00,06-6751-5177,1,0
34.727664,135.535197,大阪市立生江保育所,大阪市旭区生江3-14-13,毎週月曜日から金曜日,10：00～16：00,06-6922-7797,1,0
34.7231718,135.5493307,旭子育て支援センター,大阪市旭区森小路2-5-29,毎週月曜日から金曜日,10：00～16：00,06-6951-6283,1,1
34.6982385,135.5475635,大阪市立鯰江保育所,大阪市城東区今福西1-13-4,毎週月曜日から金曜日,10：00～16：00,06-6931-8080,1,0
34.69212,135.5422221,城東子育て支援センター,大阪市城東区鴫野西5-3-3-100,毎週月曜日から金曜日,10：00～16：00,06-6961-3756,1,1
34.7047028,135.5834973,鶴見子育て支援センター,大阪市鶴見区諸口5-浜6-17,毎週月曜日から金曜日,10：00～16：00,06-6912-6149,1,1
34.628458,135.5150308,大阪市立阪南保育所,大阪市阿倍野区阪南町3-26-13,毎週月曜日から金曜日,10：00～16：00,06-6623-0277,1,0
34.6176549,135.4792992,つどいの広場北加賀屋,大阪市住之江区中加賀屋2-17-1,毎週月曜日から金曜日,10：00～16：00,06-6681-2673,1,1
34.6055586,135.4820757,つどいの広場みさき,大阪市住之江区御崎7-2-4,毎週月曜日から金曜日,10：00～16：00,06-6685-6693,1,1
34.612686,135.4983033,大阪市立住吉保育所,大阪市住吉区帝塚山東5-9-4,毎週月曜日から金曜日,10：00～16：00,06-6678-7031,1,0
34.6143669,135.4986388,住吉子育て支援センター,大阪市住吉区帝塚山東5-5-16,毎週月曜日から金曜日,10：00～16：00,06-6672-3831,1,1
34.6140172,135.5031077,大阪市立万領保育所,大阪市住吉区万代東4-1-29,毎週月曜日から金曜日,10：00～16：00,06-6694-1623,1,0
34.600497,135.5283,つどいの広場矢田教育の森,大阪市東住吉区矢田5-2-12,毎週月曜日から金曜日,10：00～16：00,06-6692-0053,1,1
34.624422,135.5692808,平野子育て支援センター,大阪市平野区加美南1-9-45,毎週月曜日から金曜日,10：00～16：00,06-6791-0730,1,1
34.6032854,135.5753525,長吉子育て支援センター,大阪市平野区長吉長原東2-1-22,毎週月曜日から金曜日,10：00～16：00,06-6709-1991,1,1
34.6040832,135.5527607,大阪市立瓜破保育所,大阪市平野区瓜破3-3-64,毎週月曜日から金曜日,10：00～16：00,06-6707-0700,1,0
34.6133059,135.5576143,喜連子育て支援センター,大阪市平野区喜連6-7-44,毎週月曜日から金曜日,10：00～16：00,06-6790-2700,1,1
34.6510222,135.4912749,大阪市立長橋第２保育所,大阪市西成区南開1-7-7,毎週月曜日から金曜日,10：00～16：00,06-6562-0016,1,0
34.6444849,135.4909764,西成子育て支援センター,大阪市西成区旭2-7-17,毎週月曜日から金曜日,10：00～16：00,06-6567-3460,1,1
34.640811,135.4889747,松通子育て支援センター,大阪市西成区松3-2-32,毎週月曜日から金曜日,10：00～16：00,06-6659-2900,1,1
34.711461,135.5069642,北区子ども・子育てプラザ,大阪市北区本庄東1-24-11,毎週火曜日から日曜日,9:30～17:30,06-6374-0870,1,1
34.7078111,135.5221691,都島区子ども・子育てプラザ,大阪市都島区中野町5-15-21,毎週火曜日から日曜日,9:30～17:30,06-6923-0150,1,1
34.698042,135.4714973,福島区子ども・子育てプラザ,大阪市福島区海老江6-1-14,毎週火曜日から日曜日,9:30～17:30,06-6453-0207,1,1
34.6856222,135.4526752,此花区子ども・子育てプラザ,大阪市此花区四貫島2-26-17,毎週火曜日から日曜日,9:30～17:30,06-6463-1881,1,1
34.6712611,135.5080812,中央区子ども・子育てプラザ,大阪市中央区島之内2-12-6,毎週火曜日から日曜日,9:30～17:30,06-6213-2171,1,1
34.6777804,135.4739396,西区子ども・子育てプラザ,大阪市西区本田3-7-2,毎週火曜日から日曜日,9:30～17:30,06-6582-9553,1,1
34.6647059,135.4604723,港区子ども・子育てプラザ,大阪市港区磯路2-11-10,毎週火曜日から日曜日,9:30～17:30,06-6573-7792,1,1
34.6574751,135.4722863,大正区子ども・子育てプラザ,大阪市大正区泉尾3-9-16,毎週火曜日から日曜日,9:30～17:30,06-6554-5377,1,1
34.667758,135.5277779,天王寺区子ども・子育てプラザ,大阪市天王寺区味原町9-14,毎週火曜日から日曜日,9:30～17:30,06-6763-3525,1,1
34.6599331,135.5097891,浪速区子ども・子育てプラザ,大阪市浪速区下寺2-2-12,毎週火曜日から日曜日,9:30～17:30,06-6643-0694,1,1
34.7064749,135.4579391,西淀川区子ども・子育てプラザ,大阪市西淀川区姫里2-13-22,毎週火曜日から日曜日,9:30～17:30,06-6474-7245,1,1
34.7305279,135.4797466,淀川区子ども・子育てプラザ,大阪市淀川区新高1-11-19,毎週火曜日から日曜日,9:30～17:30,06-6395-6420,1,1
34.7411528,135.5293329,東淀川区子ども・子育てプラザ,大阪市東淀川区豊新2-1-4,毎週火曜日から日曜日,9:30～17:30,06-6327-5650,1,1
34.6798142,135.5477717,東成区子ども・子育てプラザ,大阪市東成区東中本2-3-16,毎週火曜日から日曜日,9:30～17:30,06-6976-0300,1,1
34.6537999,135.548692,生野区子ども・子育てプラザ,大阪市生野区巽北2-4-16,毎週火曜日から日曜日,9:30～17:30,06-6752-8000,1,1
34.7232531,135.549353,旭区子ども・子育てプラザ,大阪市旭区森小路2-5-29,毎週火曜日から日曜日,9:30～17:30,06-6955-1144,1,1
34.6979139,135.5483781,城東区子ども・子育てプラザ,大阪市城東区今福西1-1-39,毎週火曜日から日曜日,9:30～17:30,06-6933-2880,1,1
34.6930248,135.5673559,鶴見区子ども・子育てプラザ,大阪市鶴見区今津中1-1-14,毎週火曜日から日曜日,9:30～17:30,06-6967-1033,1,1
34.630878,135.5154249,阿倍野区子ども・子育てプラザ,大阪市阿倍野区阪南町2-23-21,毎週火曜日から日曜日,9:30～17:30,06-6623-1775,1,1
34.6084441,135.4843327,住之江区子ども・子育てプラザ,大阪市住之江区浜口西3-4-22,毎週火曜日から日曜日,9:30～17:30,06-6674-5405,1,1
34.6091361,135.5028611,住吉区子ども・子育てプラザ,大阪市住吉区南住吉2-18-21,毎週火曜日から日曜日,9:30～17:30,06-6693-2970,1,1
34.6206829,135.527528,東住吉区子ども・子育てプラザ,大阪市東住吉区東田辺2-11-28,毎週火曜日から日曜日,9:30～17:30,06-6699-3600,1,1
34.603919,135.5527688,平野区子ども・子育てプラザ,大阪市平野区瓜破3-3-64,毎週火曜日から日曜日,9:30～17:30,06-6707-0900,1,1
34.6425582,135.4957781,西成区子ども・子育てプラザ,大阪市西成区梅南1-2-6,毎週火曜日から日曜日,9:30～17:30,06-6658-4528,1,1
34.688841,135.532295,ジョー・テラス・オオサカ,大阪市中央区大阪城3-1,毎日,7:00～23:00,06-6314-6444,1,1
34.685949,135.526599,ミライザ大阪城,大阪市中央区大阪城1-1,毎日,9:00～22:00,06-6755-4320,1,1
34.710132,135.573571,咲くやこの花館,大阪市鶴見区鶴見緑地公園2-163,毎週火曜日から日曜日,10:00～16:30,06-6912-0055,1,1
