緯度,経度,施設名,住所,利用可能日,利用可能時間,電話番号　,授乳,おむつ替え
34.6088629,135.5661917,谷町線　出戸駅,大阪市平野区長吉長原西1丁目1番10号,毎日,5:00～24:00,-,1,1
34.6024406,135.5738945,谷町線　長原駅,大阪市平野区長吉長原東2丁目2番33号,毎日,5:00～24:00,-,0,1
34.597379,135.582571,谷町線　八尾南駅,八尾市若林町1丁目36番地,毎日,5:00～24:00,-,0,1
34.6998962,135.4956892,四つ橋線　西梅田駅,大阪市北区梅田2丁目2番25号,毎日,5:00～24:00,-,0,1
34.6912403,135.4964572,四つ橋線　肥後橋駅,大阪市西区江戸堀1丁目13番18号,毎日,5:00～24:00,-,0,1
34.6827989,135.49697,四つ橋線　本町駅,大阪市西区西本町1丁目4番10号,毎日,5:00～24:00,-,0,1
34.6741793,135.4968312,四つ橋線　四ツ橋駅,大阪市西区北堀江1丁目1番29号,毎日,5:00～24:00,-,0,1
34.6665183,135.4974416,四つ橋線　なんば駅,大阪市浪速区元町1丁目1番17号,毎日,5:00～24:00,-,0,1
34.6443411,135.4965933,四つ橋線　花園町駅,大阪市西成区旭1丁目5番2号,毎日,5:00～24:00,-,0,1
34.6344633,135.4943586,四つ橋線　岸里駅,大阪市西成区岸里1丁目5番15号,毎日,5:00～24:00,-,0,1
34.6241902,135.4905654,四つ橋線　玉出駅,大阪市住之江区粉浜西1丁目1番1号,毎日,5:00～24:00,-,0,1
34.6213541,135.4792756,四つ橋線　北加賀屋駅,大阪市住之江区北加賀屋2丁目11番2号,毎日,5:00～24:00,-,0,1
34.6084673,135.473026,四つ橋線　住之江公園駅,大阪市住之江区泉1丁目1番52号,毎日,5:00～24:00,-,0,1
34.6431405,135.4126343,中央線　コスモスクエア駅,大阪市住之江区南港北1丁目30番21号,毎日,5:00～24:00,-,0,1
34.653903,135.4343771,中央線　大阪港駅,大阪市港区築港3丁目5番9号,毎日,5:00～24:00,-,0,1
34.6605667,135.4486866,中央線　朝潮橋駅,大阪市港区田中3丁目1番4号,毎日,5:00～24:00,-,0,1
34.6682715,135.4631342,中央線　弁天町駅,大阪市港区波除3丁目11番6号,毎日,5:00～24:00,-,0,1
34.6757156,135.4739908,中央線　九条駅,大阪市西区九条2丁目3番2号,毎日,5:00～24:00,-,0,1
34.6813304,135.4876124,中央線　阿波座駅,大阪市西区西本町3丁目1番23号,毎日,5:00～24:00,-,0,1
34.6819963,135.4996703,中央線　本町駅,大阪市中央区船場中央4丁目1番6号,毎日,5:00～24:00,-,1,1
34.6818774,135.5070147,中央線　堺筋本町駅,大阪市中央区船場中央1丁目4番16号,毎日,5:00～24:00,-,0,1
34.6814153,135.5179515,中央線　谷町四丁目駅,大阪市中央区谷町4丁目4番21号,毎日,5:00～24:00,-,0,1
34.6814899,135.5323007,中央線　森ノ宮駅,大阪市中央区森ノ宮中央1丁目1番43号,毎日,5:00～24:00,-,0,1
34.6807763,135.5445849,中央線　緑橋駅,大阪市東成区東中本1丁目14番17号,毎日,5:00～24:00,-,0,1
34.6791833,135.5570713,中央線　深江橋駅,大阪市東成区深江北1丁目1番21号,毎日,5:00～24:00,-,0,1
34.678487,135.572666,中央線　高井田駅,東大阪市川俣1丁目1番45号,毎日,5:00～24:00,-,0,1
34.679416,135.591941,中央線　長田駅,東大阪市長田中2丁目21番地の2,毎日,5:00～24:00,-,0,1
34.6944769,135.4749064,千日前線　野田阪神駅,大阪市福島区大開1丁目14番18号,毎日,5:00～24:00,-,0,1
34.6895459,135.4762,千日前線　玉川駅,大阪市福島区吉野3丁目1番5号,毎日,5:00～24:00,-,0,1
34.674265,135.4871112,千日前線　西長堀駅,大阪市西区北堀江3丁目12番20号,毎日,5:00～24:00,-,0,1
34.6684459,135.4888002,千日前線　桜川駅,大阪市浪速区幸町2丁目3番7号,毎日,5:00～24:00,-,0,1
34.666662,135.5163069,千日前線　谷町九丁目駅,大阪市天王寺区生玉前町1番24号,毎日,5:00～24:00,-,0,1
34.666004,135.5292561,千日前線　鶴橋駅,大阪市天王寺区下味原町1番24号,毎日,5:00～24:00,-,0,1
34.6687503,135.543893,千日前線　今里駅,大阪市東成区大今里3丁目15番18号,毎日,5:00～24:00,-,0,1
34.6682261,135.555011,千日前線　新深江駅,大阪市東成区神路4丁目12番16号,毎日,5:00～24:00,-,0,1
34.6614009,135.5563046,千日前線　小路駅,大阪市生野区小路東2丁目11番14号,毎日,5:00～24:00,-,0,1
34.6526756,135.5549537,千日前線　北巽駅,大阪市生野区巽東1丁目1番39号,毎日,5:00～24:00,-,0,1
34.6430611,135.5532182,千日前線　南巽駅,大阪市生野区巽東2丁目19番27号,毎日,5:00～24:00,-,0,1
34.7035973,135.5108476,堺筋線　扇町駅,大阪市北区天神橋4丁目8番3号,毎日,5:00～24:00,-,0,1
34.6980538,135.5110059,堺筋線　南森町駅,大阪市北区南森町2丁目1番4号,毎日,5:00～24:00,-,0,1
34.6898096,135.5065936,堺筋線　北浜駅,大阪市中央区北浜1丁目8番16号,毎日,5:00～24:00,-,0,1
34.6823638,135.5064804,堺筋線　堺筋本町駅,大阪市中央区船場中央1丁目4番16号,毎日,5:00～24:00,-,0,1
34.6749384,135.5063282,堺筋線　長堀橋駅,大阪市中央区島之内1丁目18番9号,毎日,5:00～24:00,-,0,1
34.6665123,135.5061618,堺筋線　日本橋駅,大阪市中央区日本橋1丁目5番12号,毎日,5:00～24:00,-,0,1
34.6559311,135.5056484,堺筋線　恵美須町駅,大阪市浪速区日本橋5丁目5番15号,毎日,5:00～24:00,-,0,1
34.6482624,135.5032842,堺筋線　動物園前駅,大阪市西成区太子1丁目6番12号,毎日,5:00～24:00,-,0,1
34.63576,135.4964296,堺筋線　天下茶屋駅,大阪市西成区岸里1丁目1番10号,毎日,5:00～24:00,-,0,1
34.6655814,135.4787117,長堀鶴見緑地線　大正駅,大阪市大正区三軒家西1丁目2番1号,毎日,5:00～24:00,-,0,1
34.6709992,135.4794744,長堀鶴見緑地線　ドーム前千代崎駅,大阪市西区千代崎3丁目北2番8号,毎日,5:00～24:00,-,0,1
34.6758711,135.48681,長堀鶴見緑地線　西長堀駅,大阪市西区新町4丁目4番7号,毎日,5:00～24:00,-,0,1
34.6754814,135.4930172,長堀鶴見緑地線　西大橋駅,大阪市西区新町1丁目28番11号,毎日,5:00～24:00,-,0,1
34.6754408,135.5122099,長堀鶴見緑地線　松屋町駅,大阪市中央区松屋町3番27号,毎日,5:00～24:00,-,0,1
34.6761064,135.5175587,長堀鶴見緑地線　谷町六丁目駅,大阪市中央区安堂寺町1丁目6番10号,毎日,5:00～24:00,-,0,1
34.6745716,135.5308609,長堀鶴見緑地線　玉造駅,大阪市天王寺区玉造本町1番2号,毎日,5:00～24:00,-,0,1
34.6917998,135.5297836,長堀鶴見緑地線　大阪ビジネスパーク駅,大阪市中央区城見1丁目3番13号,毎日,5:00～24:00,-,0,1
34.696744,135.5298517,長堀鶴見緑地線　京橋駅,大阪市都島区東野田町2丁目6番18号,毎日,5:00～24:00,-,1,1
34.7003851,135.5478047,長堀鶴見緑地線　蒲生四丁目駅,大阪市城東区今福西3丁目1番35号,毎日,5:00～24:00,-,0,1
34.7020161,135.5604117,長堀鶴見緑地線　今福鶴見駅,大阪市城東区今福東2丁目14番15号,毎日,5:00～24:00,-,0,1
34.703587,135.5726804,長堀鶴見緑地線　横堤駅,大阪市鶴見区横堤5丁目3番31号,毎日,5:00～24:00,-,0,1
34.7107783,135.5802337,長堀鶴見緑地線　鶴見緑地駅,大阪市鶴見区緑地公園1番55号,毎日,5:00～24:00,-,0,1
34.716986,135.592539,長堀鶴見緑地線　門真南駅,門真市三ツ島3丁目2201番地,毎日,5:00～24:00,-,0,1
34.7597908,135.5472994,今里筋線　井高野駅,大阪市東淀川区北江口4丁目20番3号,毎日,5:00～24:00,-,0,1
34.7519041,135.5444913,今里筋線　瑞光四丁目駅,大阪市東淀川区瑞光4丁目9番4号,毎日,5:00～24:00,-,0,1
34.7441502,135.5442272,今里筋線　だいどう豊里駅,大阪市東淀川区大桐1丁目1番7号,毎日,5:00～24:00,-,0,1
34.7349294,135.5528133,今里筋線　太子橋今市駅,守口市京阪本通1丁目3番B-1号,毎日,5:00～24:00,-,0,1
34.7216553,135.5607452,今里筋線　清水駅,大阪市旭区清水4丁目8番2号,毎日,5:00～24:00,-,0,1
34.7152085,135.5589005,今里筋線　新森古市駅,大阪市旭区新森4丁目2番27号,毎日,5:00～24:00,-,0,1
34.7132912,135.5464748,今里筋線　関目成育駅,大阪市城東区関目5丁目1番5号,毎日,5:00～24:00,-,0,1
34.7008965,135.5462922,今里筋線　蒲生四丁目駅,大阪市城東区今福西3丁目1番11号,毎日,5:00～24:00,-,0,1
34.6931888,135.5462363,今里筋線　鴫野駅,大阪市城東区鴫野東1丁目13番12号,毎日,5:00～24:00,-,0,1
34.6814578,135.5446712,今里筋線　緑橋駅,大阪市東成区東中本1丁目1番14号,毎日,5:00～24:00,-,0,1
34.6700661,135.5430973,今里筋線　今里駅,大阪市東成区大今里3丁目14番24号,毎日,5:00～24:00,-,0,1
34.6386281,135.4123554,南港ポートタウン線　トレードセンター前駅,大阪市住之江区南港北1丁目14番72号,毎日,5:00～24:00,-,0,1
34.6340541,135.4174421,南港ポートタウン線　中ふ頭駅,大阪市住之江区南港中5丁目3番48号,毎日,5:00～24:00,-,0,1
34.6309102,135.4228199,南港ポートタウン線　ポートタウン西駅,大阪市住之江区南港中3丁目2番68号,毎日,5:00～24:00,-,0,1
34.6309072,135.4291436,南港ポートタウン線　ポートタウン東駅,大阪市住之江区南港中2丁目1番14号,毎日,5:00～24:00,-,0,1
34.6193389,135.4348919,南港ポートタウン線　フェリーターミナル駅,大阪市住之江区南港東4丁目8番52号,毎日,5:00～24:00,-,0,1
34.6138397,135.4385981,南港ポートタウン線　南港東駅,大阪市住之江区南港東2丁目4番52号,毎日,5:00～24:00,-,0,1
34.6138268,135.4459721,南港ポートタウン線　南港口駅,大阪市住之江区南港東1丁目7番69号,毎日,5:00～24:00,-,0,1
34.6106939,135.4585832,南港ポートタウン線　平林駅,大阪市住之江区平林南1丁目2番先,毎日,5:00～24:00,-,0,1
34.6092525,135.4721273,南港ポートタウン線　住之江公園駅,大阪市住之江区泉1丁目1番先,毎日,5:00～24:00,-,0,1
34.7142,135.510901,りありのきっず大阪,大阪市北区天神橋７丁目12-6グレーシィ―天神橋ビル2号館1Ｆ,毎週月曜日から金曜日,9:00～17:00,06-4800-1535,1,1
34.632933,135.521403,大阪市認可小規模保育施設キッズベアー文の里,大阪市阿倍野区文の里4-21-30一桃ビル2Ｆ,毎週月曜日から土曜日,9:00～17:00,06-7507-1316,0,1
34.716704,135.541494,放課後等デイサービスはなはな,大阪市旭区高殿5-4-27,毎週月曜日から金曜日,9:30～18:30,06-4254-8787,1,1
34.681108,135.514102,ハローワーク大阪東　マザーズコーナー,大阪市中央区農人橋2丁目1-36　2F,毎週月曜日から金曜日,8:30～17:15,06-6942-4771,1,1
34.700936,135.558608,保険＆マネー,大阪市城東区今福東1丁目10-5　イズミヤ今福店地下1階,毎日,10:00～19:00,06-6931-1010,1,1
34.635062,135.494578,西成区社会福祉協議会「はぎのさと」本館,大阪市西成区岸里1-5-20西成区合同庁舎8階,毎週月曜日から土曜日,9:00～19:00（土は9:00～17:30）,06-6656-0080,1,1
34.641263,135.4895,西成区社会福祉協議会「はぎのさと」別館,大阪市西成区松3-1-16,毎週月曜日から土曜日,9:00～17:30,06-6656-0322,1,1
34.644171,135.496802,今池こどもの家,大阪市西成区花園北2-16-26,毎週月曜日から土曜日,11:00～19:00（土は10:00～18:00）,06-6632-7020,1,1
34.648109,135.483994,（社福）暁光会　ひかり学園,大阪市西成区北津守4-4-35,毎週月曜日から土曜日,9:00～17:00,06-6562-0095,0,1
34.646065,135.504268,ココルーム,大阪市西成区太子2-3-3,毎日,10:00～19:00,06-6636-1612,1,1
34.645672,135.50125,認定NPO法人　こどもの里,大阪市西成区萩之茶屋2-3-24,毎週月曜日及び水曜日から日曜日,10:00～18:30,06-6645-7778,1,1
34.627873,135.4973,グループホーム・あいえる,大阪市西成区天神ノ森2-9-18,毎週月曜日～金曜日,10:00～17:00,06-6656-1785,1,1
34.632877,135.489043,つどいの広場せいか,大阪市西成区千本中2-7-6,毎週月曜日～金曜日,10:00～15:00,06-4398-5326,1,1
34.639886,135.489691,(社福)吹田みどり福祉会たちばな保育園,大阪市西成区橘3-1-19,毎週月曜日から土曜日,7:30～18:30,06-6661-5813,1,1
34.627618,135.495955,(社福)みおつくし福祉会玉出東保育園,大阪市西成区玉出東1-6-6,毎週月曜日から土曜日,7:30～18:30（土は7:30～16:00）,06-6653-6700,1,1
34.636269,135.487051,成南地域在宅サービスステーションめぐみ,大阪市西成区千本北2-12-2,毎週月曜日～金曜日,10:00～17:30,06-6625-5811,1,1
34.640284,135.501361,天下茶屋地域在宅サービスステーションのぞみ,大阪市西成区天下茶屋東2-15-12,毎週月曜日から土曜日,9:00～17:00,06-6655-3030,1,1
34.64799,135.489747,西成障害者会館,大阪市西成区長橋3-2-27,毎週月曜日から土曜日,9:15～17:30,06-6562-5800,1,1
34.650514,135.490922,まちかどホームすずらん,大阪市西成区出城2-4-10,毎週月曜日から土曜日,9:15～17:30,06-6563-6563,0,1
34.636098,135.484221,ふれあいの里,大阪市西成区南津守1-4-46,毎週月曜日から木曜日及び日曜日,10:00～17:00,06-6659-2672,1,1
34.6462,135.500406,わかくさ保育園,大阪市西成区萩之茶屋2-9-2,毎週月曜日から土曜日,8:30～17:00,06-6633-2965,1,1
34.633371,135.484466,ナンクルナイサァーケアネット,大阪市西成区南津守3-3-22,毎週月曜日から土曜日,9:00～18:00,06-6652-1861,1,1
34.631267,135.493941,岸里つどいの広場すまいる,大阪市西成区岸里3-2-2岸里福祉会館第二会館,毎週月曜日～金曜日,10:00～15:00,080-9120-5613,1,1
34.642048,135.496737,鍼灸院「FUWARI」,大阪市西成区花園南1-6-9,毎日（不定休）,8:00～22:00,06-7493-3737,1,1
34.638329,135.495779,そんぽの家S　天下茶屋,大阪市西成区花園南2-5-10,毎日,9:00～18:00,06-6655-5711,1,1
34.712485,135.56137,つどいの広場ソフィア,大阪市鶴見区緑1-11-3　2階,毎週月曜日から金曜日,9:00～16:00,06-6180-3550,1,1
34.621191,135.506821,ウェルカムブック大阪,大阪市住吉区万代東1-3-13,毎週日曜日から水曜日、金曜日、土曜日,12:00～18:00,090-4766-1411,0,1
34.628026,135.495872,西成スポーツセンター,大阪市西成区玉出東1-6-1,毎週火曜日から日曜日,9:00～21:00,06-4398-1603,0,1
34.632996,135.516551,café＆coworking space CLIP,大阪市阿倍野区阪南町1-50-3,毎日,10:00～23:00（日は10:00～19:00）,06-6624-9927,0,1
34.667665,135.499773,大阪マザーズハローワーク,大阪市中央区難波2-2-3　御堂筋グランドビル4F,毎週月曜日から金曜日,10:00～18:00,06-7653-1098,1,1
34.698831,135.49792,ハローワーク梅田マザーズコーナー,大阪市北区梅田1-2-2　大阪駅前第２ビル16F,毎週月曜日から金曜日,8:30～17:15,06-6344-8609,1,1
34.722273,135.482195,ハローワーク淀川,大阪市淀川区十三本町3-4-11,毎週月曜日から金曜日,8:30～17:15,06-6302-4771,1,1
